movieId,keywords,cast,genres,popularity,title,director,prod_company,avg_rating,revenue_millions
1,"['jealousy', 'toy', 'boy']","['Tom Hanks', 'Tim Allen', 'Don Rickles']","['Animation', 'Comedy', 'Family']",21.95,Toy Story,John Lasseter,Pixar Animation Studios,3.89,373.554
2,"['board game', 'disappearance', ""based on children's book""]","['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']","['Adventure', 'Fantasy', 'Family']",17.02,Jumanji,Joe Johnston,TriStar Pictures,3.24,262.797
3,"['fishing', 'best friend', 'duringcreditsstinger']","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","['Romance', 'Comedy']",11.71,Grumpier Old Men,Howard Deutch,Warner Bros.,3.18,0.0
4,"['based on novel', 'interracial relationship', 'single mother']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine']","['Comedy', 'Drama', 'Romance']",3.86,Waiting to Exhale,Forest Whitaker,Twentieth Century Fox Film Corporation,2.88,81.452
5,"['baby', 'midlife crisis', 'confidence']","['Steve Martin', 'Diane Keaton', 'Martin Short']",['Comedy'],8.39,Father of the Bride Part II,Charles Shyer,Sandollar Productions,3.08,76.579
6,"['robbery', 'detective', 'bank']","['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['Action', 'Crime', 'Drama']",17.92,Heat,Michael Mann,Regency Enterprises,3.84,187.437
8,[],"['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook']","['Action', 'Adventure', 'Drama']",2.56,Tom and Huck,Peter Hewitt,Walt Disney Pictures,3.13,0.0
9,"['terrorist', 'hostage', 'explosive']","['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']","['Action', 'Adventure', 'Thriller']",5.23,Sudden Death,Peter Hyams,Universal Pictures,3.01,64.35
11,"['white house', 'usa president', 'new love']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox']","['Comedy', 'Drama', 'Romance']",6.32,The American President,Rob Reiner,Columbia Pictures,3.66,107.879
13,"['wolf', 'dog-sledding race', 'alaska']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']","['Family', 'Animation', 'Adventure']",12.14,Balto,Simon Wells,Universal Pictures,3.33,11.348
14,"['usa president', 'presidential election', 'watergate scandal']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","['History', 'Drama']",5.09,Nixon,Oliver Stone,Hollywood Pictures,3.43,13.682
18,"['hotel', ""new year's eve"", 'witch']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']","['Crime', 'Comedy']",9.03,Four Rooms,Allison Anders,Miramax Films,3.41,4.3
19,"['africa', 'indigenous', 'human animal relationship']","['Jim Carrey', 'Ian McNeice', 'Simon Callow']","['Crime', 'Comedy', 'Adventure']",8.21,Ace Ventura: When Nature Calls,Steve Oedekerk,O Entertainment,2.63,212.386
20,"['brother brother relationship', 'subway', 'new york city']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']","['Action', 'Comedy', 'Crime']",7.34,Money Train,Joseph Ruben,Columbia Pictures,2.89,35.431
21,"['gambling', 'miami', 'based on novel']","['John Travolta', 'Gene Hackman', 'Rene Russo']","['Comedy', 'Thriller', 'Crime']",12.67,Get Shorty,Barry Sonnenfeld,Jersey Films,3.57,115.102
22,"['police brutality', 'psychology', 'police operation']","['Sigourney Weaver', 'Holly Hunter', 'Will Patton']","['Drama', 'Thriller']",10.7,Copycat,Jon Amiel,Regency Enterprises,3.3,0.0
