,user,new_movie,predicted_rating,movie_title
0,1.0,80,4.0,The White Balloon
1,1.0,72683,4.0,Tell Me Something
2,1.0,100843,4.0,A Coffee in Berlin
3,1.0,100106,4.0,The Pervert's Guide to Ideology
4,2.0,27251,5.0,The 10th Kingdom
5,2.0,1328,5.0,The Amityville Curse
6,2.0,39416,5.0,Kids in America
7,2.0,39408,5.0,Left Behind III: World at War
8,3.0,44197,5.0,Find Me Guilty
9,3.0,26160,5.0,Asterix the Gaul
10,3.0,91355,5.0,Asterix and the Vikings
11,3.0,48660,5.0,The Elementary Particles
12,4.0,3656,5.0,Lured
13,4.0,107516,5.0,Punk's Dead: SLC Punk 2
14,4.0,109249,5.0,The Journey
15,4.0,48660,5.0,The Elementary Particles
16,5.0,1878,4.5,Woo
17,5.0,2190,4.5,Why Do Fools Fall In Love
18,5.0,69280,4.5,The Clique
19,5.0,1067,4.333333333333333,A Damsel in Distress
20,6.0,6014,5.0,National Security
21,6.0,109249,5.0,The Journey
22,6.0,5788,5.0,All or Nothing
23,6.0,285,5.0,Beyond Bedlam
24,7.0,4591,5.0,Erik the Viking
25,7.0,4605,5.0,How to Get Ahead in Advertising
26,7.0,2869,5.0,La séparation
27,7.0,3003,5.0,Train of Life
28,8.0,3567,5.0,Bossa Nova
29,8.0,3656,5.0,Lured
30,8.0,3580,5.0,Up at the Villa
31,8.0,55417,4.75,Irina Palm
32,9.0,5981,5.0,The Day of the Triffids
33,9.0,3474,5.0,Retroactive
34,9.0,3885,5.0,Love & Sex
35,9.0,3879,5.0,The Art of War
36,10.0,162672,5.0,Mohenjo Daro
37,10.0,134528,5.0,Aloha
38,10.0,793,5.0,My Life and Times With Antonin Artaud
39,10.0,820,5.0,Death in the Garden
40,11.0,5613,5.000000000000001,8 Women
41,11.0,5333,5.0,Bob le Flambeur
42,11.0,4353,5.0,Buena Vista Social Club
43,11.0,41336,5.0,Nazarin
44,12.0,106471,5.0,One Piece Film Strong World
45,12.0,47148,5.0,Mrs Palfrey at The Claremont
46,12.0,106762,5.0,Trigun: Badlands Rumble
47,12.0,4466,5.0,Above the Law
48,13.0,1133,5.0,Kristin Lavransdatter
49,13.0,1472,5.0,City of Industry
50,13.0,39427,5.0,Stay
51,13.0,126548,4.5,The DUFF
52,14.0,31689,4.5,Inside Deep Throat
53,14.0,4375,4.5,Funny Felix
54,14.0,8938,4.5,Tarnation
55,14.0,32025,4.5,Walk on Water
56,15.0,615,4.1375,Bread and Chocolate
57,15.0,105246,4.075,Mood Indigo
58,15.0,100106,4.0125,The Pervert's Guide to Ideology
59,15.0,89000,4.0125,Carancho
60,16.0,90403,5.0,The Three Musketeers
61,16.0,2103,5.0,Tall Tale
62,16.0,5917,5.0,Zoot Suit
63,16.0,53974,5.0,License to Wed
64,17.0,55417,4.75,Irina Palm
65,17.0,6425,4.722222222222222,The Sixth Man
66,17.0,91548,4.666666666666667,Life in a Day
67,17.0,8915,4.636363636363637,Stage Beauty
68,18.0,2562,5.0,Bandits
69,18.0,26695,5.0,The Krays
70,18.0,5605,5.0,Ratcatcher
71,18.0,2438,5.0,Outside Ozona
72,19.0,101947,4.5,U2: From the Sky Down
73,19.0,135532,4.444444444444445,The Last Witch Hunter
74,19.0,149572,4.444444444444445,A.R.O.G.
75,19.0,81132,4.444444444444445,Rubber
